"","x"
"X332",0.00067648381504227
"X333",0.00350650979539065
"X334",2.66393349659765e-05
"X335",0.00281691852812843
"X336",0.000198126945309383
"X337",0.0005882537876537
"X338",0.000171252266749142
"X339",0.00268164869260465
"X340",0.00245568101230175
"X341",0.000440103743267218
"X342",0.00317140382326117
"X343",7.08134077692755e-06
"X344",0.00500125010310867
"X345",0.000141908555606219
"X346",8.90886380905832e-05
"X347",6.34801084199886e-08
"X348",0.000902787677839488
"X349",0.000782354920499149
"X350",0.000172468009135505
"X351",0.000441358275816234
"X352",0.00598738479897203
"X353",0.000559875635227996
"X354",1.10165132253296e-06
"X355",0.000815633544292648
"X356",0.00272078014294158
"X357",0.00186716984681017
"X358",0.00164897815452597
"X359",0.00230492478367742
"X360",0.00179361048282486
"X361",0.00286821522480168
"X362",0.000160998344721307
"X363",0.000148385744051985
"X364",0.00352978458104662
"X365",0.00310920424959072
"X366",0.00197357942845463
"X367",5.7971628379381e-05
"X368",0.00705376295157097
"X369",5.18545485968375e-05
"X370",0.00133335218735047
"X371",7.68019222909402e-05
"X372",0.000117457370019633
"X373",1.36268025772809e-07
"X374",0.00023491798033764
"X375",0.000785364403268894
"X376",0.0019821932931593
"X377",0.000156493767045522
"X378",0.000642175275447134
"X379",0.00582500448112189
"X380",0.00598042709828632
"X381",0.000624090328587147
"X382",0.00163940346120987
"X383",0.00035341705696872
"X384",0.00159229454717601
"X385",0.000526814698549475
"X386",0.00263091183910401
"X387",0.00165347197219652
"X388",0.00529157920318575
"X389",0.00275053492566703
"X390",0.0070063093252934
"X391",0.00500376631272672
"X392",0.00187170703261344
"X393",0.00807443497430997
"X394",0.00778304180034539
"X395",0.00671103746765191
"X396",0.00102122844887652
"X397",0.000152460462019777
"X398",0.000553293427095483
"X399",0.00311054983014431
"X400",0.0036730378311199
"X401",1.29584695903678e-05
"X402",0.000693851539157574
"X403",0.00112656801293555
"X404",0.000411584940175871
"X405",0.000784855602038994
"X406",0.0053055162145691
"X407",2.13815791140216e-05
"X408",0.000131055057824611
"X409",0.00608189063961456
"X410",0.000631035527369623
"X411",0.0112207917531936
"X412",0.00328339172176508
"X413",0.000499620071265137
"X414",0.0014704160175384
"X415",2.1789097841753e-05
"X416",0.00223332339013354
"X417",0.00358671587642257
"X418",0.00172434043853174
"X419",1.5119803022815e-06
"X420",0.00075972047885263
"X421",0.000455144805221142
"X422",4.0487473643131e-05
"X423",0.00439603950849667
"X424",0.000166394840053923
"X425",0.00743426049560327
"X426",0.00233932202177153
"X427",0.000927739371919058
"X428",3.76775980583981e-05
"X429",0.00565415801679774
"X430",0.0090856244700844
"X431",0.00296479301283746
"X432",7.68312467400661e-05
"X433",5.99307320114932e-07
"X434",0.001149105410679
"X435",0.00648038060773344
"X436",0.00141023931264452
"X437",0.00130506997588093
"X438",0.00429093518832283
"X439",0.000535337635572236
"X440",0.00099684253939883
"X441",0.000116008818624739
"X442",0.000110756995605663
"X443",0.00222893300199728
"X444",0.00360278425122367
"X445",0.00844027941870589
"X446",0.00188440925768363
"X447",1.47061696929441e-07
"X448",0.00126577053199003
"X449",0.000840172959837683
"X450",0.00595224799286703
"X451",0.00819475985002865
"X452",0.00347313931273876
"X453",0.000557260789030867
"X454",0.000529614046058233
"X455",0.000127406662031854
"X456",8.26634550972323e-06
"X457",0.000850763823285048
"X458",4.33090956339752e-05
"X459",0.000279903352513349
"X460",4.04774275610832e-05
"X461",0.000294838609810795
"X462",6.50073184575582e-05
"X463",0.00255801641034922
"X464",0.000343478803344779
"X465",0.000209076510960954
"X466",0.00610395103954986
"X467",0.0016399603977083
"X468",0.000139385474831951
"X469",0.000568167618207496
"X470",4.15295363715189e-05
"X471",0.00198457364613692
"X472",0.00257307715917455
"X473",0.000957872916764282
"X474",0.000229338414872946
"X475",0.00044327785343455
"X476",0.00237213289333121
"X477",0.00114973627145164
"X478",8.17004676998945e-05
"X479",0.000481676028525079
"X480",3.24671799754496e-06
"X481",0.000472113405200312
"X482",0.00231723930910822
"X483",0.000553383898486561
"X484",0.000854827446085289
"X485",0.00599717475192829
"X486",3.44830969988499e-05
"X487",0.0128401861659945
"X488",0.000119058307916129
"X489",0.00178394321150715
"X490",4.80976187116594e-05
"X491",0.000549301422687412
"X492",0.00126394096928647
"X493",0.000364879695379713
"X494",4.06384899540636e-05
"X495",0.000520321726546542
"X496",0.00124053522034986
"X497",0.00628898162921609
"X498",6.24221311774963e-08
"X499",6.90607900954784e-05
