"","x"
"Edward.Norton",21
"Tim.Blake.Nelson",17
"Michael.Peña",21
"Luis.Guzmán",25
"Steve.Martin",16
"Jennifer.Lopez",21
"Will.Ferrell",29
"Justin.Long",29
"Eva.Mendes",19
"Jessica.Alba",17
"Drew.Barrymore",23
"Robert.Patrick",21
"Luke.Wilson",18
"Susan.Sarandon",25
"Terence.Stamp",16
"Catherine.Keener",21
"Cloris.Leachman",18
"Christian.Slater",15
"Sandra.Bullock",22
"Ed.Harris",22
"Laura.Linney",13
"Julia.Roberts",28
"Vince.Vaughn",23
"Jeff.Daniels",19
"Viggo.Mortensen",17
"Rob.Schneider",14
"Bruce.McGill",23
"Diane.Keaton",14
"Robert.Duvall",25
"Denzel.Washington",29
"Robert.De.Niro",48
"Harvey.Keitel",17
"James.Caan",13
"Sylvester.Stallone",31
"Terry.Crews",18
"Forest.Whitaker",25
"Kevin.Pollak",16
"Hugh.Grant",17
"Greg.Kinnear",15
"Zooey.Deschanel",16
"Jon.Lovitz",13
"John.Leguizamo",27
"Seann.William.Scott",19
"Queen.Latifah",22
"Jason.Lee",19
"Danny.DeVito",22
"Anna.Faris",19
"Sean.Penn",18
"Jennifer.Coolidge",18
"Adam.Sandler",24
"Meryl.Streep",25
"Gene.Hackman",22
"Al.Pacino",18
"David.Paymer",14
"Dermot.Mulroney",18
"Jennifer.Aniston",21
"Alan.Arkin",18
"David.Koechner",23
"Patricia.Clarkson",21
"Danny.Trejo",23
"Dan.Hedaya",17
"Kevin.Hart",19
"Sean.Connery",24
"John.C..McGinley",16
"Richard.Gere",16
"Bob.Balaban",14
"Charlie.Sheen",17
"Christopher.Lloyd",16
"Morris.Chestnut",13
"Toni.Collette",14
"Ice.Cube",19
"Ethan.Hawke",17
